id,slug,name,normalized_name,description,dish_family_id,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,origin_text,is_notable,created_at,updated_at
dish-wd-q119496294,10-won-bread,10 Won Bread,10 won bread,Canonical starter dish entry for 10 Won Bread. Origin: South Korea. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q119496294,cat-breads-and-loaves-c2814f9c,cui-wd-q647500,Q119496294,10 won bread,,South Korea,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q130265510,3-in-1,3-in-1,3 in 1,Canonical starter dish entry for 3-in-1. Origin: Ireland. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q130265510,,cui-wd-q1068545,Q130265510,3-in-1 (fast food dish),,Ireland,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q65248056,aakkoset,Aakkoset,aakkoset,Canonical starter dish entry for Aakkoset. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q65248056,,,Q65248056,Aakkoset,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q3603155,abbamele,Abbamele,abbamele,Canonical starter dish entry for Abbamele. Origin: Italy. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q3603155,,cui-wd-q192786,Q3603155,Abbamele,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q85850163,aboukir,Aboukir,aboukir,Canonical starter dish entry for Aboukir. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q85850163,,,Q85850163,Aboukir (cake),,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q65091072,abula,Abula,abula,Canonical starter dish entry for Abula. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q65091072,,cui-wd-q7033037,Q65091072,Abula (soup),,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q64490692,abunuabunu,Abunuabunu,abunuabunu,Canonical starter dish entry for Abunuabunu. Origin: Ghana. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q64490692,,,Q64490692,Abunuabunu,,Ghana,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4073388,achma,Achma,achma,Canonical starter dish entry for Achma. Origin: Georgia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4073388,,cui-wd-q1199026,Q4073388,Achma,,Georgia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q85739611,achu-soup,Achu soup,achu soup,Canonical starter dish entry for Achu soup. Origin: Cameroon. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q85739611,cat-soups-58c2caa7,,Q85739611,Achu (soup),,Cameroon,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q7309432,acorda,Açorda,acorda,Canonical starter dish entry for Açorda. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q7309432,,cui-wd-q180817,Q7309432,Açorda,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q19749023,adrem,adrem,adrem,Canonical starter dish entry for adrem. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q19749023,,cui-wd-q787497,Q19749023,Adrem (snacks),,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q30599785,afang,Afang,afang,Canonical starter dish entry for Afang. Associated cuisine: African people. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q30599785,,cui-wd-q7033037,Q30599785,Afang soup,,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q25055799,afghan-salad,Afghan salad,afghan salad,Canonical starter dish entry for Afghan salad. Origin: Afghanistan. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q25055799,cat-salads-aa3e870c,cui-wd-q383096,Q25055799,Afghan salad,,Afghanistan,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q107358883,african-salad,African Salad,african salad,Canonical starter dish entry for African Salad. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q107358883,cat-salads-aa3e870c,cui-wd-q7033037,Q107358883,Abacha (food),,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q10725547,aggakaka,Äggakaka,aggakaka,Canonical starter dish entry for Äggakaka. Origin: Sweden. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q10725547,,,Q10725547,Äggakaka,,Sweden,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q3606603,agliata,Agliata,agliata,Canonical starter dish entry for Agliata. Associated cuisine: Italian cuisine. Origin: Italy. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q3606603,,cui-wd-q192786,Q3606603,Agliata,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q21210955,agnolini,Agnolini,agnolini,Canonical starter dish entry for Agnolini. Origin: Italy. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q21210955,,cui-wd-q192786,Q21210955,Agnolini,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q20051,agnolotti,agnolotti,agnolotti,Canonical starter dish entry for agnolotti. Associated cuisine: Italian cuisine. Origin: France. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q20051,,cui-wd-q6661,Q20051,Agnolotti,,France,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q19949631,aguachile,Aguachile,aguachile,Canonical starter dish entry for Aguachile. Origin: Mexico. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q19949631,,cui-wd-q207965,Q19949631,Aguachile,,Mexico,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q123441,ahle-wurst,Ahle Wurst,ahle wurst,Canonical starter dish entry for Ahle Wurst. Origin: Hesse. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q123441,,,Q123441,Ahle Wurst,,Hesse,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q2827721,ahriche,Ahriche,ahriche,Canonical starter dish entry for Ahriche. Origin: Morocco. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q2827721,,cui-wd-q1150262,Q2827721,Ahriche,,Morocco,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4697660,airheads,AirHeads,airheads,Canonical starter dish entry for AirHeads. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4697660,,,Q4697660,Airheads (candy),,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q2828762,airwaves,Airwaves,airwaves,Canonical starter dish entry for Airwaves. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q2828762,,,Q2828762,Airwaves (gum),,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q61360646,akhni,Akhni,akhni,Canonical starter dish entry for Akhni. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q61360646,,,Q61360646,Akhni,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q24946983,akhuni,Akhuni,akhuni,Canonical starter dish entry for Akhuni. Associated cuisine: Thai cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q24946983,,,Q24946983,Akhuni,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q11257037,akindo-sushiro,Akindo Sushiro,akindo sushiro,Canonical starter dish entry for Akindo Sushiro. Associated cuisine: Japanese cuisine. Origin: Japan. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q11257037,,cui-wd-q234138,Q11257037,Sushiro,,Japan,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4701369,akki-rotti,Akki rotti,akki rotti,Canonical starter dish entry for Akki rotti. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4701369,,cui-wd-q192087,Q4701369,Akki rotti,,India,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q5662130,alaju,Alajú,alaju,Canonical starter dish entry for Alajú. Origin: Spain. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q5662130,,cui-wd-q622512,Q5662130,Alajú,,Spain,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q99654352,aland-pancake,Åland pancake,aland pancake,Canonical starter dish entry for Åland pancake. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q99654352,cat-pancakes-and-crepes-283edd96,,Q99654352,Åland pancake,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q30011777,albap,albap,albap,Canonical starter dish entry for albap. Origin: Korea. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q30011777,,cui-wd-q647500,Q30011777,Albap,,Korea,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q110738684,alentejano-bread,Alentejano bread,alentejano bread,Canonical starter dish entry for Alentejano bread. Associated cuisine: Portuguese cuisine. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q110738684,cat-breads-and-loaves-c2814f9c,cui-wd-q180817,Q110738684,Pao Alentejano,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
