id,slug,name,normalized_name,description,ingredient_kind,foodon_id,wikidata_qid,wikipedia_title,dbpedia_uri,created_at,updated_at
ing-mealdb-1,chicken,Chicken,chicken,"The chicken is a type of domesticated fowl, a subspecies of the red junglefowl (Gallus gallus). It is one of the most common and widespread domestic animals, with a total population of more than 19 billion as of 2011. There are more chickens in the world than any other bird or domesticated fowl. Humans keep chickens primarily as a source of food (consuming both their meat and eggs) and, less commonly, as pets. Originally raised for cockfighting or for special ceremonies, chickens were not kept for food until the Hellenistic period (4th–2nd centuries BC). Genetic studies have pointed to multipl",mealdb-ingredient,FOODON_03411457,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-2,salmon,Salmon,salmon,"Salmon is the common name for several species of ray-finned fish in the family Salmonidae. Other fish in the same family include trout, char, grayling and whitefish. Salmon are native to tributaries of the North Atlantic (genus Salmo) and Pacific Ocean (genus Oncorhynchus). Many species of salmon have been introduced into non-native environments such as the Great Lakes of North America and Patagonia in South America. Salmon are intensively farmed in many parts of the world. Typically, salmon are anadromous: they hatch in fresh water, migrate to the ocean, then return to fresh water to reproduc",mealdb-ingredient,FOODON_00003473,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-3,beef,Beef,beef,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients. Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausa",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-4,pork,Pork,pork,"Pork is the culinary name for the flesh of a domestic pig (Sus scrofa domesticus). It is the most commonly consumed meat worldwide,[1] with evidence of pig husbandry dating back to 5000 BC. Pork is eaten both freshly cooked and preserved. Curing extends the shelf life of the pork products. Ham, smoked pork, gammon, bacon and sausage are examples of preserved pork. Charcuterie is the branch of cooking devoted to prepared meat products, many from pork. Pig is the most popular meat in the Eastern and non-Muslim parts of Southeastern Asia (Indochina, Philippines, Singapore, East Timor) and is also",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-5,avocado,Avocado,avocado,"The avocado, a tree with probable origin in South Central Mexico, is classified as a member of the flowering plant family Lauraceae. The fruit of the plant, also called an avocado (or avocado pear or alligator pear), is botanically a large berry containing a single large seed. Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world. They have a green-skinned, fleshy body that may be pear-shaped, egg-shaped, or spherical. Commercially, they ripen after harvesting. Avocado trees are partially self-pollinating, and are often propagated thr",mealdb-ingredient,FOODON_00003600,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-9,apple-cider-vinegar,Apple Cider Vinegar,apple cider vinegar,"Apple cider vinegar, or cider vinegar, is a vinegar made from fermented apple juice, and used in salad dressings, marinades, vinaigrettes, food preservatives, and chutneys. It is made by crushing apples, then squeezing out the juice. Bacteria and yeast are added to the liquid to start the alcoholic fermentation process, which converts the sugars to alcohol. In a second fermentation step, the alcohol is converted into vinegar by acetic acid-forming bacteria (Acetobacter species). Acetic acid and malic acid combine to give vinegar its sour taste. Apple cider vinegar has no medicinal or nutrition",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-10,asparagus,Asparagus,asparagus,"Asparagus, or garden asparagus, folk name sparrow grass, scientific name Asparagus officinalis, is a perennial flowering plant species in the genus Asparagus. Its young shoots are used as a spring vegetable. It was once classified in the lily family, like the related Allium species, onions and garlic. However, genetic research places lilies, Allium, and asparagus in three separate families—the Liliaceae, Amaryllidaceae, and Asparagaceae, respectively—with the Amaryllidaceae and Asparagaceae being grouped together in the order Asparagales. Sources differ as to the native range of Asparagus offi",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-11,aubergine,Aubergine,aubergine,"Eggplant (US, Australia), aubergine (UK), or brinjal (South Asia and South Africa) is a plant species in the nightshade family Solanaceae. Solanum melongena is grown worldwide for its edible fruit. Most commonly purple, the spongy, absorbent fruit is used in various cuisines. Although often considered a vegetable, it is a berry by botanical definition. As a member of the genus Solanum, it is related to tomato and potato. Like the tomato, its skin and seeds can be eaten, but, like the potato, it is usually eaten cooked. Eggplant is nutritionally low in macronutrient and micronutrient content, b",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-13,baby-plum-tomatoes,Baby Plum Tomatoes,baby plum tomatoes,"The tomato is the edible, often red, berry of the plant Solanum lycopersicum, commonly known as a tomato plant. The species originated in western South America and Central America. The Nahuatl (Aztec language) word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.[3][4] Its domestication and use as a cultivated food may have originated with the indigenous peoples of Mexico. The Aztecs used tomatoes in their cooking at the time of the Spanish conquest of the Aztec Empire, and after the Spanish encountered the tomato for the first time after their contact w",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-14,bacon,Bacon,bacon,"Bacon is a type of salt-cured pork. Bacon is prepared from several different cuts of meat, typically from the pork belly or from back cuts, which have less fat than the belly. It is eaten on its own, as a side dish (particularly in breakfasts), or used as a minor ingredient to flavour dishes (e.g., the club sandwich). Bacon is also used for barding and larding roasts, especially game, including venison and pheasant. The word is derived from the Old High German bacho, meaning ""buttock"", ""ham"" or ""side of bacon"", and is cognate with the Old French bacon.",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-15,baking-powder,Baking Powder,baking powder,"Baking powder is a dry chemical leavening agent, a mixture of a carbonate or bicarbonate and a weak acid. The base and acid are prevented from reacting prematurely by the inclusion of a buffer such as cornstarch. Baking powder is used to increase the volume and lighten the texture of baked goods. It works by releasing carbon dioxide gas into a batter or dough through an acid-base reaction, causing bubbles in the wet mixture to expand and thus leavening the mixture. The first single-acting baking powder was developed by Birmingham based food manufacturer Alfred Bird in England in 1843. The firs",mealdb-ingredient,FOODON_03301940,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-16,balsamic-vinegar,Balsamic Vinegar,balsamic vinegar,"Balsamic vinegar (Italian: aceto balsamico), occasionally shortened to balsamic, is a very dark, concentrated, and intensely flavoured vinegar originating in Italy, made wholly or partially from grape must. Grape must is freshly crushed grape juice with all the skins, seeds and stems.",mealdb-ingredient,FOODON_00005503,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-17,basil,Basil,basil,"Basil, also called great basil, is a culinary herb of the family Lamiaceae (mints). Basil is native to tropical regions from central Africa to Southeast Asia. It is a tender plant, and is used in cuisines worldwide. Depending on the species and cultivar, the leaves may taste somewhat like anise, with a strong, pungent, often sweet smell.",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-18,basil-leaves,Basil Leaves,basil leaves,"Basil, also called great basil, is a culinary herb of the family Lamiaceae (mints).",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-19,basmati-rice,Basmati Rice,basmati rice,"Basmati is a variety of long, slender-grained aromatic rice which is traditionally from the Indian subcontinent. As of 2018-19, India exported to over 90% of the overseas basmati rice market, while Pakistan accounted for the remainder, according to the Indian state-run Agricultural and Processed Food Products Export Development Authority and the Pakistan government-run Economic Survey of Pakistan. Many countries use domestically grown basmati rice crops; however, basmati is geographically exclusive to select districts of India, Pakistan, Nepal and Bangladesh.",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-20,bay-leaf,Bay Leaf,bay leaf,"The bay leaf is an aromatic leaf commonly used in cooking. It can be used whole, or as dried and ground.",mealdb-ingredient,FOODON_00003802,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-21,bay-leaves,Bay Leaves,bay leaves,"The bay leaf is an aromatic leaf commonly used in cooking. It can be used whole, or as dried and ground.",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-23,beef-brisket,Beef Brisket,beef brisket,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients. Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausa",mealdb-ingredient,FOODON_02000189,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
ing-mealdb-24,beef-fillet,Beef Fillet,beef fillet,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients. Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausa",mealdb-ingredient,,,,,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
